,CAS_Number,Chemical_Name,Species_Scientific_Name,Organism_Lifestage,Organism_Age_Mean,Organism_Age_Mean_Op,Exposure_Type,Media_Type,Test_Location,Number_of_Doses,Observed_Response_Mean,Observed_Response_Min,Observed_Response_Max,Observed_Response_Units,ld50_variance,ld50_se,ld50_se_+/-CI,ld50_sd,ld50_sd_+/-CI,Pval,DF,Chisq,HarzardRatio,notes_ld50,sample_size,paper code,notes,corresponding_author_email,Effect,Endpoint,Response_Site,aq_ter,,Title,Publication_Year,Observed_Duration_Days,Observed_Duration_Units_Days,Chemical_short,family,genus,Observed_Response_Units_std,Observed_Response_Mean_std,Observed_Response_Min_std,Observed_Response_Max_std
207,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Osmia rufa,Not reported,NR,,Food,Not reported,Lab,7,1.18,0.9,1.48,AI ng/org,,,,,,,,,,,240,41,SI listed but no original data,fabio.sgolastra2@unibo.it,Mortality,LD50,Not reported,Terrestrial,,Synergistic Mortality Between a Neonicotinoid Insecticide and an Ergosterol-Biosynthesis-Inhibiting Fungicide in Three Bee Species,2017,4,Day(s),Clothianidin,Megachilidae,Osmia,AI ng/org,1.18,0.9,1.48
205,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Osmia excavata,Larva,NR,,Food,No substrate,Lab,8,0.007,0.006,0.008,AI ug/org,,,,,,,,,,,1440,42,SI listed but no original data,menxy2000@hotmail.com,Mortality,LD50,Not reported,Terrestrial,,Comparative Ecotoxicity of Insecticides with Different Modes of Action to Osmia excavata (Hymenoptera: Megachilidae),2021,2,Day(s),Clothianidin,Megachilidae,Osmia,AI ng/org,7,6,8
247,135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Osmia excavata,Larva,NR,,Food,No substrate,Lab,8,0.91,0.72,1.19,AI ug/org,,,,,,,,,,,1440,42,SI listed but no original data,menxy2000@hotmail.com,Mortality,LD50,Not reported,Terrestrial,,Comparative Ecotoxicity of Insecticides with Different Modes of Action to Osmia excavata (Hymenoptera: Megachilidae),2021,2,Day(s),Acetamiprid,Megachilidae,Osmia,AI ng/org,910,720,1190
222,135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Apis mellifera,Adult,NR,,Dermal,No substrate,Lab,NR,1.69,0.62,2.48,ug/org,,,,,,,,,,,360,43,SI not provided,m_eltaher@yahoo.com,Mortality,LD50,Not reported,Terrestrial,,Toxicity and Biochemical Changes in the Honey Bee Apis mellifera Exposed to Four Insecticides Under Laboratory Conditions,2015,1,Day(s),Acetamiprid,Apidae,Apis,ng/org,1690,620,2480
223,135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Apis mellifera,Adult,NR,,Dermal,No substrate,Lab,8,8.81,4.4,15.2,ug/org,,,,,,,,,,,480,44,SI listed but no original data,ralf.nauen@bayer.com,Mortality,LD50,Not reported,Terrestrial,,Pesticide Risk Assessment at the Molecular Level Using Honey Bee Cytochrome P450 Enzymes: A Complementary Approach,2021,2,Day(s),Acetamiprid,Apidae,Apis,ng/org,8810,4400,15200
224,135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Apis mellifera,Larva,4,,Food,No substrate,Lab,6,5.65,4.4,7.26,ug/org,,,,,,,,,,,288,45,SI listed but no original data,daipingli@caas.cn,Mortality,LD50,Not reported,Terrestrial,,"Acute and Chronic Toxicity of Acetamiprid, Carbaryl, Cypermethrin and Deltamethrin to Apis mellifera Larvae Reared In Vitro",2020,3,Day(s),Acetamiprid,Apidae,Apis,ng/org,5650,4400,7260
225,135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Apis mellifera ligustica,Adult,NR,,Dermal,No substrate,Lab,5-6,3.26,1.12,6.05,AI ug/org,,,,,,,,,,,150,46,SI not provided,xingangliu@caas.cn,Mortality,LD50,Not reported,Terrestrial,,Joint Toxicity of Acetamiprid and the Co-Applied Pesticide Adjuvants on Honeybees under Semi-Field and Laboratory Conditions,2019,2,Day(s),Acetamiprid,Apidae,Apis,AI ng/org,3260,1120,6050
226,135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Apis mellifera ligustica,Adult,NR,,Dermal,No substrate,Lab,5-6,1.52,0.16,3,AI ug/org,,,,,,,,,,,150,46,SI not provided,xingangliu@caas.cn,Mortality,LD50,Not reported,Terrestrial,,Joint Toxicity of Acetamiprid and the Co-Applied Pesticide Adjuvants on Honeybees under Semi-Field and Laboratory Conditions,2019,2,Day(s),Acetamiprid,Apidae,Apis,AI ng/org,1520,160,3000
227,135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Apis mellifera ligustica,Adult,NR,,Dermal,No substrate,Lab,5-6,7.28,4.81,11.1,AI ug/org,,,,,,,,,,,150,46,SI not provided,xingangliu@caas.cn,Mortality,LD50,Not reported,Terrestrial,,Joint Toxicity of Acetamiprid and the Co-Applied Pesticide Adjuvants on Honeybees under Semi-Field and Laboratory Conditions,2019,2,Day(s),Acetamiprid,Apidae,Apis,AI ng/org,7280,4810,11100
228,135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Apis mellifera ligustica,Adult,NR,,Dermal,No substrate,Lab,5-6,4.79,0.51,9.03,AI ug/org,,,,,,,,,,,150,46,SI not provided,xingangliu@caas.cn,Mortality,LD50,Not reported,Terrestrial,,Joint Toxicity of Acetamiprid and the Co-Applied Pesticide Adjuvants on Honeybees under Semi-Field and Laboratory Conditions,2019,2,Day(s),Acetamiprid,Apidae,Apis,AI ng/org,4790,510,9030
229,135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Apis mellifera ligustica,Adult,NR,,Dermal,No substrate,Lab,5-6,0.96,0.03,1.91,AI ug/org,,,,,,,,,,,150,46,SI not provided,xingangliu@caas.cn,Mortality,LD50,Not reported,Terrestrial,,Joint Toxicity of Acetamiprid and the Co-Applied Pesticide Adjuvants on Honeybees under Semi-Field and Laboratory Conditions,2019,2,Day(s),Acetamiprid,Apidae,Apis,AI ng/org,960,30,1910
230,135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Apis mellifera ligustica,Adult,NR,,Dermal,No substrate,Lab,5-6,4.43,3.24,5.7,AI ug/org,,,,,,,,,,,150,46,SI not provided,xingangliu@caas.cn,Mortality,LD50,Not reported,Terrestrial,,Joint Toxicity of Acetamiprid and the Co-Applied Pesticide Adjuvants on Honeybees under Semi-Field and Laboratory Conditions,2019,2,Day(s),Acetamiprid,Apidae,Apis,AI ng/org,4430,3240,5700
231,135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Apis mellifera ligustica,Adult,NR,,Dermal,No substrate,Lab,5-6,0.86,0.02,2.19,AI ug/org,,,,,,,,,,,150,46,SI not provided,xingangliu@caas.cn,Mortality,LD50,Not reported,Terrestrial,,Joint Toxicity of Acetamiprid and the Co-Applied Pesticide Adjuvants on Honeybees under Semi-Field and Laboratory Conditions,2019,2,Day(s),Acetamiprid,Apidae,Apis,AI ng/org,860,20,2190
232,135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Apis mellifera ligustica,Adult,NR,,Dermal,No substrate,Lab,5-6,3.62,1.25,5.96,AI ug/org,,,,,,,,,,,150,46,SI not provided,xingangliu@caas.cn,Mortality,LD50,Not reported,Terrestrial,,Joint Toxicity of Acetamiprid and the Co-Applied Pesticide Adjuvants on Honeybees under Semi-Field and Laboratory Conditions,2019,2,Day(s),Acetamiprid,Apidae,Apis,AI ng/org,3620,1250,5960
233,135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Apis mellifera ligustica,Adult,NR,,Dermal,No substrate,Lab,5-6,1.21,0.15,2.69,AI ug/org,,,,,,,,,,,150,46,SI not provided,xingangliu@caas.cn,Mortality,LD50,Not reported,Terrestrial,,Joint Toxicity of Acetamiprid and the Co-Applied Pesticide Adjuvants on Honeybees under Semi-Field and Laboratory Conditions,2019,2,Day(s),Acetamiprid,Apidae,Apis,AI ng/org,1210,150,2690
234,135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Apis mellifera ligustica,Adult,NR,,Dermal,No substrate,Lab,5-6,10.73,1.64,18.9,AI ug/org,,,,,,,,,,,150,46,SI not provided,xingangliu@caas.cn,Mortality,LD50,Not reported,Terrestrial,,Joint Toxicity of Acetamiprid and the Co-Applied Pesticide Adjuvants on Honeybees under Semi-Field and Laboratory Conditions,2019,2,Day(s),Acetamiprid,Apidae,Apis,AI ng/org,10730,1640,18900
235,135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Apis mellifera ligustica,Adult,NR,,Dermal,No substrate,Lab,5-6,15.91,8.23,120,AI ug/org,,,,,,,,,,,150,46,SI not provided,xingangliu@caas.cn,Mortality,LD50,Not reported,Terrestrial,,Joint Toxicity of Acetamiprid and the Co-Applied Pesticide Adjuvants on Honeybees under Semi-Field and Laboratory Conditions,2019,2,Day(s),Acetamiprid,Apidae,Apis,AI ng/org,15910,8230,120000
236,135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Apis mellifera ligustica,Adult,NR,,Dermal,No substrate,Lab,5-6,26,18,34,AI ug/org,,,,,,,,,,,150,46,SI not provided,xingangliu@caas.cn,Mortality,LD50,Not reported,Terrestrial,,Joint Toxicity of Acetamiprid and the Co-Applied Pesticide Adjuvants on Honeybees under Semi-Field and Laboratory Conditions,2019,2,Day(s),Acetamiprid,Apidae,Apis,AI ng/org,26000,18000,34000
237,135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Apis mellifera ligustica,Adult,NR,,Dermal,No substrate,Lab,5-6,6.44,2.03,10.15,AI ug/org,,,,,,,,,,,150,46,SI not provided,xingangliu@caas.cn,Mortality,LD50,Not reported,Terrestrial,,Joint Toxicity of Acetamiprid and the Co-Applied Pesticide Adjuvants on Honeybees under Semi-Field and Laboratory Conditions,2019,2,Day(s),Acetamiprid,Apidae,Apis,AI ng/org,6440,2030,10150
238,135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Bombus hypocrita,Adult,NR,,"Diet, unspecified",No substrate,Lab,6,0.0028,0.0018,0.0031,AI ug/org,,,,,,,,,,,450,47,SI not provided,flhu@zju.edu.cn,Mortality,LD50,Not reported,Terrestrial,,Sensitivities of Three Bumblebee Species to Four Pesticides Applied Commonly in Greenhouses in China,2010,2,Day(s),Acetamiprid,Apidae,Bombus,AI ng/org,2.8,1.8,3.1
239,135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Bombus ignitus,Adult,NR,,"Diet, unspecified",No substrate,Lab,6,0.0023,0.0021,0.0024,AI ug/org,,,,,,,,,,,450,47,SI not provided,flhu@zju.edu.cn,Mortality,LD50,Not reported,Terrestrial,,Sensitivities of Three Bumblebee Species to Four Pesticides Applied Commonly in Greenhouses in China,2010,2,Day(s),Acetamiprid,Apidae,Bombus,AI ng/org,2.3,2.1,2.4
241,135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Bombus patagiatus,Adult,NR,,"Diet, unspecified",No substrate,Lab,6,0.0021,0.002,0.0023,AI ug/org,,,,,,,,,,,450,47,SI not provided,flhu@zju.edu.cn,Mortality,LD50,Not reported,Terrestrial,,Sensitivities of Three Bumblebee Species to Four Pesticides Applied Commonly in Greenhouses in China,2010,2,Day(s),Acetamiprid,Apidae,Bombus,AI ng/org,2.1,2,2.3
248,135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Plebeia emerina,Adult,NR,,"Topical, general",No substrate,Lab,NR,6216.55,4664.52,7768.57,AI ng/org,,,,,,,,,,,480,48,SI listed but no original data,acostapadilha08@gmail.com,Mortality,LD50,Not reported,Terrestrial,,Toxicity of Insecticides on Neotropical Stingless Bees Plebeia emerina (Friese) and Tetragonisca fiebrigi (Schwarz) (Hymenoptera: Apidae: Meliponini),2020,2,Day(s),Acetamiprid,Apidae,Plebeia,AI ng/org,6216.55,4664.52,7768.57
249,135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Tetragonisca fiebrigi,Adult,NR,,"Topical, general",No substrate,Lab,NR,1421.23,966.95,1875.51,AI ng/org,,,,,,,,,,,480,48,SI listed but no original data,acostapadilha08@gmail.com,Mortality,LD50,Not reported,Terrestrial,,Toxicity of Insecticides on Neotropical Stingless Bees Plebeia emerina (Friese) and Tetragonisca fiebrigi (Schwarz) (Hymenoptera: Apidae: Meliponini),2020,2,Day(s),Acetamiprid,Apidae,Tetragonisca,AI ng/org,1421.23,966.95,1875.51
250,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera,Not reported,NR,,Food,No substrate,Lab,7,9.5,NA,NA,AI ng/org,,2.9,,,,,,,,,420,49,Cannot find,,Mortality,LD50,Not reported,Terrestrial,,Impacts of Chronic Sublethal Exposure to Clothianidin on Winter Honeybees,2016,10,Day(s),Clothianidin,Apidae,Apis,AI ng/org,9.5,NA,NA
251,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera,Not reported,NR,,Food,No substrate,Lab,7,18,NA,NA,AI ng/org,,4.4,,,,,,,,,420,49,Cannot find,,Mortality,LD50,Not reported,Terrestrial,,Impacts of Chronic Sublethal Exposure to Clothianidin on Winter Honeybees,2016,3,Day(s),Clothianidin,Apidae,Apis,AI ng/org,18,NA,NA
252,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera,Not reported,NR,,Food,No substrate,Lab,7,15.1,NA,NA,AI ng/org,,3.6,,,,,,,,,420,49,Cannot find,,Mortality,LD50,Not reported,Terrestrial,,Impacts of Chronic Sublethal Exposure to Clothianidin on Winter Honeybees,2016,4,Day(s),Clothianidin,Apidae,Apis,AI ng/org,15.1,NA,NA
253,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis mellifera,Not reported,NR,,Food,No substrate,Lab,7,26.9,NA,NA,AI ng/org,,4.9,,,,,,,,,420,49,Cannot find,,Mortality,LD50,Not reported,Terrestrial,,Impacts of Chronic Sublethal Exposure to Clothianidin on Winter Honeybees,2016,2,Day(s),Clothianidin,Apidae,Apis,AI ng/org,26.9,NA,NA
